id,segment,gamecategory,subgamecategory,bundle,created,shift,oblast,city,os,osv,segment_predict
51241,5,,,com.codigames.university.empire.idle.tycoon,2021-08-02 06:29:07,MSK+7,Хабаровский край,Комсомольск-на-Амуре,android,10.0.0,4
51243,3,Games,Strategy,com.ea.game.pvzfree_row,2021-09-20 09:29:52,MSK+2,Свердловская область,Екатеринбург,android,11.0,4
51247,4,,,com.playstrom.bob,2021-09-18 10:36:24,MSK,Нижегородская область,Нижний Новгород,android,10.0.0,2
51251,5,,,com.zeptolab.bulletecho.google,2021-08-03 12:39:33,MSK,Санкт-Петербург,Санкт-Петербург,android,9,3
51275,3,Games,Puzzle,com.higgs.tilemaster3d,2021-09-15 09:34:45,MSK,Калужская область,Калуга,android,9.0,5
51283,5,Games,Casual,com.merge.cube.winner,2021-09-17 12:08:05,MSK+2,Курганская область,Каргаполье,android,7.0,3
51298,3,Games,Puzzle,com.app.rescuecut,2021-07-11 02:48:07,MSK,Краснодарский край,Краснодар,android,10.0,3
51303,3,Games,Action,com.gamedevltd.wwh,2021-08-04 21:14:45,MSK,Белгородская область,Белгород,android,10.0,5
51304,3,,,1578161842,2021-09-19 16:55:08,MSK,Москва,Москва,ios,14.7.1,3
51312,4,Games,Strategy,net.wargaming.wot.blitz,2021-08-05 11:45:26,MSK,Саратовская область,Энгельс,android,10.0,4
51336,5,Applications,Tools,com.cacheclean.cleanapp.cacheappclean,2021-09-16 06:17:38,MSK+3,Новосибирская область,Новосибирск,android,11.0,4
51354,3,,,video.reface.app,2021-07-06 09:04:58,MSK,Москва,Москва,android,11.0.0,5
51357,3,Games,Strategy,net.wargaming.wot.blitz,2021-07-09 19:53:18,MSK,Краснодарский край,Сочи,android,8.0.0,4
51370,4,Games,Puzzle,com.easybrain.sudoku.android,2021-08-03 20:23:33,MSK,Санкт-Петербург,Санкт-Петербург,android,11.0,4
51390,5,Games,Arcade,com.ketchapp.rider,2021-09-19 15:36:55,MSK,Московская область,Красково,android,8.0.0,5
51395,3,Games,Puzzle,com.mind.quiz.brain.out,2021-07-08 22:20:44,MSK,Санкт-Петербург,Санкт-Петербург,android,8.1.0,5
51396,5,Games,Racing,com.dodreams.driveahead,2021-08-03 07:08:42,,,,android,10.0,3
51398,2,Games,Puzzle,com.casox.ConnectToMerge,2021-09-18 07:34:06,MSK+2,Свердловская область,Пышма,android,11.0,5
51409,4,Games,Strategy,com.bytro.callofwar1942,2021-08-02 09:01:34,MSK+3,Алтайский край,,android,10.0,5
51423,3,Games,Puzzle,com.creativejoy.ru.jewelancienttemple,2021-08-08 05:03:03,,,,android,10.0,3
51425,4,Games,Casual,1146465836,2021-08-03 19:02:22,MSK+3,Алтайский край,Бийск,ios,14.6,3
51434,2,,,ru.ok.android,2021-09-16 12:39:48,MSK,Саратовская область,,Android,6.0.1,5
51438,4,Games,Casual,com.melesta.coffeeshop,2021-09-18 15:08:23,MSK+2,Челябинская,Челябинск,android,7.0,5
51443,2,Games,Puzzle,com.hwg.sos,2021-09-19 13:40:34,MSK,Татарстан,Казань,android,10.0,3
51447,4,,,com.tile.match.connect.game,2021-07-05 19:01:33,MSK,Брянская область,Брянск,Android,10.0.0,3
51453,5,Games,Board,bp.free.puzzle.game.mahjong.onet,2021-08-03 12:04:23,MSK,Краснодарский край,Краснодар,android,7.0,4
51457,3,Games,Action,com.axlebolt.standoff2,2021-08-04 11:25:13,MSK,Саратовская область,Саратов,android,7.1,4
51462,3,Games,Puzzle,1369521645,2021-07-08 20:39:29,MSK,Москва,Москва,ios,14.6,4
51466,3,Games,Puzzle,1446344746,2021-07-08 16:42:18,MSK,Москва,Москва,ios,14.6,5
51467,3,Games,Simulation,1514604864,2021-08-06 15:41:20,MSK,Москва,Москва,ios,12.5.4,5
51487,4,Games,Puzzle,easy.sudoku.puzzle.solver.free,2021-07-06 15:34:10,MSK,Санкт-Петербург,Санкт-Петербург,android,10.0,5
51496,3,Games,Action,com.feofun.elementalmaster,2021-08-05 13:43:13,MSK,Москва,Москва,android,9.0,3
51502,4,Games,Casual,com.king.candycrushsodasaga,2021-08-03 19:31:40,MSK,Москва,Москва,android,9.0,3
51508,3,Applications,Lifestyle,com.dramaton.slime,2021-07-10 12:15:57,MSK,Москва,Москва,android,8.1.0,5
51511,4,,,com.openmygame.games.android.wordsearchsea,2021-08-03 10:28:53,MSK,Ставрополье,Ставрополь,Android,7.0,5
51513,4,,,com.openmygame.games.android.wordpizza,2021-08-08 18:50:08,MSK,Ростовская область,Ростов-на-Дону,Android,10,2
51517,5,Games,Casual,jp.co.ponos.battlecatsen,2021-09-18 01:56:22,MSK+7,Приморский край,Хороль,android,7.1,3
51532,4,,,com.weedle.tv_box_android_remotes,2021-08-02 20:31:22,MSK,Дагестан,Дербент,android,9,3
51548,5,,,com.ludia.jw2,2021-08-02 13:36:34,MSK,Москва,Москва,android,7.0.0,3
51553,3,Games,Puzzle,easy.sudoku.puzzle.solver.free,2021-09-17 12:41:50,MSK,Татарстан,Казань,android,7.0,5
51560,4,Games,Simulation,com.yourstoryinteractive.sails.pirate.adventure,2021-07-08 20:18:02,MSK,Краснодарский край,Краснодар,android,9.0,2
51566,3,,,com.openmygame.games.android.wordsearchsea,2021-07-05 22:03:45,MSK,Северная Осетия,Владикавказ,Android,6.0.1,4
51581,5,Games,Strategy,net.wargaming.wot.blitz,2021-08-03 00:32:56,MSK,Татарстан,Казань,android,10.0,5
51589,5,Games,Card,net.elvista.kozel,2021-08-04 10:31:50,MSK,Татарстан,Казань,android,7.0,5
51594,5,,,com.kiloo.subwaysurf,2021-08-08 00:11:19,MSK,Краснодарский край,Краснодар,android,9.0.0,4
51599,4,Games,Racing,com.MadOut.BIG,2021-08-04 12:34:50,MSK,Краснодарский край,,android,10.0,5
51635,3,Games,Action,com.axlebolt.standoff2,2021-08-03 14:34:19,MSK+2,Челябинская,Челябинск,android,10.0,5
51636,4,,,com.leonidshkatulo.carrace,2021-09-15 20:27:39,MSK,Санкт-Петербург,Санкт-Петербург,Android,10,4
51649,5,Games,Adventure,air.com.pixelfederation.diggy,2021-09-20 22:11:19,MSK,Липецкая область,Липецк,android,9.0,4
51666,4,Applications,Video Players & Editors,com.yurecorder.screenshot.screenrecorder,2021-09-17 17:17:40,MSK+2,Челябинская,Сатка,android,10.0,5
51669,3,Games,Puzzle,easy.sudoku.puzzle.solver.free,2021-08-05 13:01:09,MSK+5,Иркутская область,Иркутск,android,9.0,5
51670,4,,,com.ducky.bikehill3d,2021-09-17 15:30:30,MSK+2,Свердловская область,Екатеринбург,android,10.0.0,5
51671,1,,,com.merge.cube.winner,2021-09-19 17:24:06,MSK,Ростовская область,Ростов-на-Дону,android,11.0.0,5
51681,3,Games,Puzzle,sortpuz.water.sort.puzzle.game,2021-08-07 00:06:50,MSK,Нижегородская область,Нижний Новгород,android,10.0,5
51684,5,Applications,Productivity,com.coffeebeanventures.easyvoicerecorder,2021-09-15 17:35:17,MSK,Липецкая область,Грязи,android,6.0,5
51693,3,Games,Simulation,jp.garud.ssimulator,2021-09-18 18:54:55,MSK,Краснодарский край,Сочи,android,10.0,5
51704,3,Games,Puzzle,1444990764,2021-08-06 08:26:18,MSK+3,Новосибирская область,Новосибирск,ios,12.5.4,5
51706,4,,,com.PoxelStudios.DudeTheftAuto,2021-08-02 16:14:07,MSK,Воронежская область,Воронеж,Android,10,3
51717,4,Games,Casual,com.king.candycrushsaga,2021-08-05 20:54:53,MSK,Тверская область,Тверь,android,9.0,1
51737,4,,,com.PoxelStudios.DudeTheftAuto,2021-09-18 18:15:48,,,,Android,9,4
51739,4,Games,Board,com.appcraft.number.puzzle,2021-07-09 10:25:45,,,,android,10.0,2
51744,5,Games,Simulation,com.redcell.goldandgoblins,2021-08-04 14:08:43,MSK+5,Иркутская область,Иркутск,android,10.0,5
51756,5,Games,Action,com.wb.goog.mkx,2021-08-04 10:27:50,MSK+2,Челябинская,Челябинск,android,10.0,5
51760,4,Games,Racing,com.notdoppler.earntodie2,2021-07-06 10:59:21,MSK,Ульяновская область,Ульяновск,android,11.0,4
51761,3,Games,Role Playing,1300588558,2021-08-02 11:06:24,MSK,Воронежская область,Воронеж,ios,12.5.4,5
51774,5,,,com.ea.games.r3_row,2021-09-17 05:52:55,MSK,Татарстан,Казань,android,7.1.1,2
51778,3,Games,Puzzle,easy.sudoku.puzzle.solver.free,2021-09-16 18:48:38,MSK,Санкт-Петербург,Санкт-Петербург,android,7.1,5
51789,4,Games,Card,com.eapoker.durak.international,2021-07-05 18:46:36,MSK+4,Красноярский край,Красноярск,android,10.0,5
51796,5,,,conversor.conversaotaxasbasico.rubtjs,2021-08-03 08:06:43,MSK,Московская область,Ногинск,android,6.0,5
51799,4,,,com.alienshooter.galaxy.attack2,2021-07-07 10:43:32,MSK+3,Новосибирская область,Новосибирск,android,10.0.0,5
51821,4,Games,Simulation,com.hyperbeard.adorablehome,2021-07-09 15:56:26,MSK,Москва,Москва,android,10.0,4
51844,3,Games,Word,com.openmygame.games.android.wordsearchsea,2021-08-04 13:39:49,MSK+3,Алтайский край,Барнаул,android,9.0,5
51849,4,Games,Casual,candymanor.homedesign.match3,2021-08-08 21:52:25,MSK,Москва,Москва,android,10.0,5
51860,4,,,sp.app.bubblePop,2021-08-04 19:44:07,MSK,Московская область,Старая Купавна,android,10,5
51876,2,Games,Role Playing,com.nexters.herowars,2021-09-19 08:10:28,MSK,Москва,Москва,android,11.0,5
51896,3,Games,Puzzle,1452227871,2021-07-09 18:42:09,MSK,Краснодарский край,Краснодар,ios,14.6,5
51907,4,Games,Board,uk.co.aifactory.chessfree,2021-09-16 12:24:15,MSK,Москва,Москва,android,8.1.0,4
51915,3,Applications,Tools,com.avast.android.mobilesecurity,2021-09-18 07:12:05,MSK+3,Новосибирская область,Краснообск,android,10.0,2
51921,1,Games,Word,com.qiiwi.wordington,2021-07-06 22:28:52,MSK,Татарстан,,android,10.0,5
51943,5,Games,Word,com.fugo.wow,2021-08-04 11:37:21,MSK,Татарстан,Казань,android,10.0,4
51944,3,Games,Arcade,com.survivalcrafting.crafting.fashion.car.salon.makeover.spa.girls.craft.fun.free.driving.games.girls.racing.simulator,2021-09-19 12:36:22,MSK+2,Башкортостан,Туймазы,android,9.0,5
51948,3,Games,Card,net.supertreat.solitaire,2021-09-20 05:29:29,MSK,Татарстан,Казань,android,10.0,5
51953,4,Games,Puzzle,com.herocraft.game.cut.arcade.catchthecandy,2021-08-02 17:42:39,,,,android,11.0,3
51974,3,Games,Puzzle,com.differencetenderwhite.skirt,2021-08-04 18:17:38,MSK,Санкт-Петербург,Санкт-Петербург,android,10.0,5
51985,5,Games,Action,1502383491,2021-08-02 17:14:54,MSK,Краснодарский край,Краснодар,ios,13.5,4
51988,5,,,ru.ok.android,2021-09-15 11:23:46,MSK+2,Свердловская область,Екатеринбург,Android,10,4
51989,4,,,com.gma.water.sort.puzzle,2021-09-18 10:06:19,MSK,Москва,Москва,android,10.0.0,3
52034,4,Games,Casual,com.kayac.ball_run,2021-08-04 17:30:19,MSK,Московская область,Дзержинский,android,10.0,3
52051,3,Games,Role Playing,1300588558,2021-07-06 03:49:06,MSK,Санкт-Петербург,Петергоф,ios,14.3,3
52055,5,Applications,Productivity,com.apalon.myclockfree,2021-08-05 07:54:23,MSK,Вологодская область,Вологда,android,11.0,4
52063,3,Games,Action,com.skullcapstudios.bpm,2021-07-09 16:23:28,MSK,Нижегородская область,Нижний Новгород,android,9.0,4
52072,2,Games,Racing,com.ea.game.nfs14_row,2021-09-19 09:17:46,MSK,Москва,Москва,android,9.0,5
52081,3,Games,Card,com.csogames.client.android.app.durak,2021-08-06 22:07:36,MSK,Москва,Москва,android,8.1.0,4
52084,3,Applications,Auto & Vehicles,pdd.traffic.signs,2021-08-03 13:47:08,,,,android,10.0,2
52093,4,Games,Word,com.fugo.wow,2021-07-05 07:56:37,MSK,Ярославская область,Ярославль,android,10.0,5
52098,5,,,com.rsg.di.cz,2021-08-03 11:18:58,MSK+2,Свердловская область,Екатеринбург,android,9,5
52104,3,,,com.amelosinteractive.snake,2021-07-11 18:10:09,MSK,Санкт-Петербург,Санкт-Петербург,android,10.0.0,4
52106,5,Games,Card,com.easybrain.solitaire.klondike.free,2021-09-15 01:35:10,MSK+3,Новосибирская область,Новосибирск,android,11.0,4
52117,4,,,com.free.games.cake.smash.mania.puzzle,2021-07-09 06:24:04,,,,android,10,3
52135,3,Games,Word,com.fugo.wow,2021-08-07 10:20:30,MSK,Нижегородская область,Нижний Новгород,android,10.0,5
52146,5,Games,Card,com.belkagames.solitaire,2021-09-20 11:39:19,MSK,Москва,Москва,android,10.0,3
52164,4,,,com.gma.water.connect.puzzle,2021-08-04 14:18:10,MSK+3,Томская область,Томск,android,10.0.0,5
52180,4,,,com.jctswbglsm.SwipeAway,2021-09-15 11:05:24,MSK,Санкт-Петербург,Санкт-Петербург,android,10.0.0,5
52191,5,Games,Action,com.akpublish.zombie,2021-08-02 13:08:38,MSK,Татарстан,Казань,android,10.0,4
52193,5,Games,Simulation,com.yourstoryinteractive.sails.pirate.adventure,2021-09-20 04:26:30,MSK+3,Новосибирская область,Новосибирск,android,8.0.0,5
52204,3,Shopping,None,1016489154,2021-08-07 13:49:46,MSK+3,Омская область,Омск,ios,14.6,2
52207,5,Games,Action,com.edkongames.ww2,2021-08-02 14:03:06,MSK+2,Свердловская область,Екатеринбург,android,7.0,3
52210,4,Games,Action,com.rebeltwins.aliensdrivemecrazy,2021-07-06 06:27:23,MSK,Москва,Москва,android,7.0,3
52244,5,Games,Casual,1482155847,2021-09-17 10:16:33,MSK,Москва,Москва,ios,14.7.1,5
52245,5,Games,Casual,candymanor.homedesign.match3,2021-08-03 07:13:26,MSK+3,Новосибирская область,Новосибирск,android,9.0,4
52256,5,Games,Board,com.higgs.bubblematch,2021-09-17 08:07:26,MSK,Орловская область,Мценск,android,7.0,3
52268,3,Games,Puzzle,com.easybrain.jigsaw.puzzles,2021-08-05 15:09:52,MSK+2,Свердловская область,Екатеринбург,android,10.0,5
52274,3,,,com.honeyponey.bubbletea,2021-09-20 14:07:21,MSK,Москва,Москва,android,9.0.0,3
52284,4,,,com.openmygame.games.android.wordpizza,2021-08-03 07:28:18,MSK,Чечня,Грозный,Android,10,3
52286,5,,,com.dobroapps.anti.stress.toys,2021-08-05 06:59:38,MSK+4,Красноярский край,Красноярск,android,4.4.4,3
52297,3,Games,Casual,com.king.candycrushsaga,2021-08-03 20:13:06,MSK,Краснодарский край,Краснодар,android,10.0,5
52306,3,,,com.games.joinblocks,2021-07-06 03:53:53,,,,Android,10,5
52317,5,Games,Adventure,net.wooga.junes_journey_hidden_object_mystery_game,2021-08-02 13:30:56,MSK+3,Алтайский край,Бийск,android,10.0,5
52323,3,,,com.gma.water.sort.puzzle,2021-07-05 21:14:45,MSK,Москва,Москва,android,11.0.0,5
52337,5,Applications,Productivity,com.apalon.myclockfree,2021-08-02 13:16:40,MSK,Москва,Москва,android,10.0,4
52338,3,Games,Puzzle,puzzle.blockpuzzle.cube.relax,2021-07-09 19:01:10,MSK,Краснодарский край,Краснодар,android,11.0,3
52345,5,Games,Simulation,com.computerlunch.evolution,2021-09-16 12:36:42,MSK,Москва,Москва,android,11.0,4
52346,5,,,ru.ok.android,2021-09-15 11:43:03,MSK,Москва,Москва,Android,10,5
52350,5,Games,Simulation,com.mars.avgchapters,2021-09-19 12:48:15,MSK,Краснодарский край,Туапсе,android,9.0,5
52360,3,,,com.jellyblast.cmcm,2021-07-11 19:45:42,MSK+2,Свердловская область,Екатеринбург,android,10.0.0,5
52364,3,,,1480338372,2021-07-05 01:57:55,MSK,Брянская область,Брянск,ios,14.6.0,5
52365,3,Games,Puzzle,com.playstrom.dop3,2021-09-19 14:22:26,MSK,Татарстан,Казань,android,11.0,5
52377,4,,,at.ner.lepsWorld3Plus,2021-08-03 17:47:41,MSK+4,Красноярский край,Енисейск,android,10,3
52391,3,Games,Casual,com.playrix.homescapes,2021-08-03 08:37:49,MSK,Москва,Москва,android,10.0,5
52397,1,Applications,Communication,ir.ilmili.telegraph,2021-07-09 12:27:25,MSK,Татарстан,,android,11.0,3
52406,3,Games,Simulation,1068204657,2021-07-05 19:05:09,MSK+2,Курганская область,Курган,ios,14.6,4
52414,3,Applications,Tools,com.yadavapp.flashalerts,2021-09-19 15:06:20,,,,android,9.0,4
52416,5,,,org.aastudio.games.longnards,2021-09-17 06:39:57,MSK,Краснодарский край,,Android,7.0,5
52418,5,,,com.orangeapps.candyvalley,2021-08-04 07:44:39,MSK,Санкт-Петербург,Санкт-Петербург,android,10,3
52425,4,,,jp.co.goodroid.hyper.muscle,2021-08-03 15:59:21,MSK+2,Башкортостан,Уфа,android,9.0.0,5
52428,4,,,com.coffeestainstudios.goatsimulator.free,2021-08-03 20:01:40,MSK,Ставрополье,Ставрополь,android,10,3
52439,5,,,com.appspot.orium_blog.crossword,2021-08-02 14:21:59,MSK,Москва,Москва,android,9,4
52450,5,,,1460568073,2021-09-19 10:33:26,MSK,Санкт-Петербург,Санкт-Петербург,ios,15.0.0,1
52460,3,,,com.dancing.smash.hop.game.tiles.circles.beat.paino,2021-07-11 17:30:51,MSK,Москва,Москва,android,8.0.0,4
52467,5,Games,Arcade,com.germanicus.cmioo,2021-08-04 13:33:54,MSK+2,Свердловская область,Екатеринбург,android,7.0,3
52472,5,Games,Casual,com.ohmgames.richtopoor,2021-08-02 16:57:20,MSK+7,Приморский край,Владивосток,android,10.0,2
52482,5,Games,Word,com.cloudycastlegames.wordline,2021-08-05 07:48:27,MSK,Курская область,Курск,android,10.0,3
52491,5,Games,Action,zombie.survival.craft.z,2021-09-18 16:27:24,MSK,Дагестан,Махачкала,android,11.0,5
52500,5,Games,Puzzle,com.bigfishgames.gummydropgoogle,2021-08-03 12:54:18,MSK+2,Свердловская область,Екатеринбург,android,11.0,3
52507,5,Games,Racing,com.notdoppler.earntodie2,2021-08-02 14:51:42,MSK+2,Свердловская область,Богданович,android,9.0,3
52512,3,Games,Action,1557464369,2021-09-15 18:39:46,MSK+1,Самарская область,Самара,ios,14.3,5
52516,5,Games,Puzzle,sortpuz.water.sort.puzzle.game,2021-08-04 07:35:13,MSK,Москва,Москва,android,10.0,5
52542,5,Games,Puzzle,1195621598,2021-08-03 14:15:35,MSK,Воронежская область,Воронеж,ios,12.5.4,3
52543,3,,,com.runawayplay.birdbnb,2021-07-11 01:09:57,MSK,Москва,,android,9.0.0,5
52554,5,Games,Action,com.axlebolt.standoff2,2021-08-02 16:07:39,MSK+3,Алтайский край,Барнаул,android,9.0,3
52570,1,,,com.fugo.wow,2021-07-06 21:52:02,MSK,Ставрополье,Пятигорск,Android,11.0.0,3
52571,4,,,com.lemonsquad.simulatorbs,2021-09-17 19:58:33,MSK,Воронежская область,Воронеж,Android,8.1.0,4
52587,5,Games,Strategy,net.wargaming.wot.blitz,2021-08-02 17:12:11,MSK,Москва,Москва,android,10.0,5
52593,3,Games,Action,com.zeptolab.omnomrun.google,2021-09-18 15:45:18,MSK,Тверская область,Тверь,android,9.0,3
52607,4,Games,Puzzle,com.red.blue.imposter,2021-08-04 13:48:35,MSK,Москва,Москва,android,5.1,5
52625,3,Games,Role Playing,com.duige.hzw.multilingual,2021-09-17 13:38:10,MSK,Москва,Москва,android,8.1.0,5
52627,4,Applications,Dating,ru.photostrana.mobile,2021-08-03 00:41:06,MSK,Брянская область,Брянск,android,10.0,3
52639,5,,,com.alienshooter.galaxy.attack2,2021-08-07 05:40:02,MSK,Краснодарский край,Краснодар,android,10.0.0,4
52646,4,Games,Action,com.zeptolab.omnomrun.google,2021-08-05 11:08:34,MSK,Москва,Москва,android,11.0,4
52651,3,,,com.MadOut.BIG,2021-07-06 19:42:38,MSK,Ярославская область,Ярославль,Android,10,5
52657,4,,,com.gem.number.glnumber,2021-08-02 19:03:03,MSK+3,Новосибирская область,Новосибирск,android,9.0.0,3
52659,4,,,net.wargaming.wot.blitz,2021-07-06 14:01:28,MSK,Москва,Москва,android,10.0.0,5
52660,3,,,by.RTSR.a4robbery,2021-09-16 05:14:30,MSK+2,Свердловская область,Екатеринбург,android,11.0.0,5
52663,5,,,com.nrsmagic.shooter,2021-08-03 11:25:18,MSK,Санкт-Петербург,Санкт-Петербург,android,7.1.1,4
52679,5,Games,Strategy,net.wargaming.wot.blitz,2021-08-07 11:08:01,MSK+2,Свердловская область,Екатеринбург,android,11.0,4
52680,3,,,com.my.hc.rpg.kingdom.simulator,2021-07-10 01:48:07,MSK,Нижегородская область,Нижний Новгород,android,10.0.0,3
52686,5,Games,Card,com.solitaire.fun.free.klondike.cardgames.farm.friends,2021-08-04 09:31:26,MSK,Татарстан,Казань,android,9.0,5
52707,3,Games,Action,com.YsoCorp.NinjaHands,2021-08-07 20:13:36,MSK,Татарстан,Казань,android,8.0.0,5
52715,5,,,com.beingame.zc.zombie.shelter.survival,2021-09-17 02:21:07,MSK+6,Забайкальский Край,Чита,android,11.0.0,3
52726,4,,,wp.wattpad,2021-07-08 08:01:20,MSK,Ростовская область,Ростов-на-Дону,Android,8.0.0,3
52736,3,,,net.wargaming.wot.blitz,2021-08-04 18:25:04,MSK,Адыгея,Гатлукай,android,11.0.0,3
52739,5,Applications,Dating,ru.photostrana.mobile,2021-09-15 07:24:18,MSK,Санкт-Петербург,Санкт-Петербург,android,11.0,5
52759,3,Games,Action,com.cihan.pancakeee,2021-09-19 12:59:40,MSK,Татарстан,Казань,android,9.0,5
52760,5,,,com.apm2studio.roborush,2021-08-04 12:56:18,MSK,Татарстан,Казань,android,10.0.0,4
52788,4,,,com.fugo.wow,2021-07-06 06:32:45,,,,Android,10.0.0,5
52803,4,,,tr.com.apps.fashion.battle,2021-09-20 09:27:14,MSK,Москва,Москва,android,7.0.0,5
52813,4,Games,Role Playing,com.gamehivecorp.taptitans2,2021-07-05 20:54:02,MSK,Карелия,Петрозаводск,android,10.0,2
52827,5,,,com.combo.matcher,2021-09-19 07:19:58,MSK+5,Иркутская область,Иркутск,android,8.1.0,3
52831,4,,,com.fugo.wow,2021-07-08 15:19:42,MSK,Татарстан,Казань,Android,7.0.0,5
